Var1,M_1,M_2,M_3,M_4
A00051826,0.0359841100903236,0.0447935507469969,0.0334659567638446,0.0196970185670984
A00051886,0.0369190214637556,0.0423406131925166,0.0347003179290222,0.0200071408375575
A00051955,0.0461523153867133,0.0597300124015556,0.0417238004838358,0.0261221328547096
A00053375,0.0401016134011398,0.0563035925841492,0.0350604683422539,0.0233972672167114
A00053398,0.0454373762759886,0.0532562697829331,0.0425462232592631,0.0248222433007743
A00053440,0.0335558679432542,0.0434739805676282,0.030001580149789,0.0190819674134217
A00053460,0.0287109544971124,0.0373968251529996,0.0256134729624166,0.0163246170940707
A00053480,0.0368009976118381,0.0464390992771052,0.0336068968731584,0.020524714205074
A00053597,0.0386923666540916,0.0450072135165601,0.0360517635595723,0.0211696921144863
A00053909,0.0552847970604432,0.0743241405339241,0.0462123138546938,0.0340071577744987
A00054215,0.0186555279441942,0.024411454648257,0.0169140759903151,0.0103849770942894
A00054239,0.0517428361063185,0.0642918894424638,0.0454856964192723,0.0302074689426385
A00054287,0.0629310505263885,0.0803076862067572,0.0556513350815573,0.0367278505967023
A00054359,0.081661026517756,0.100174925681538,0.07367540033122,0.0471666427704348
A00054369,0.0431037840859325,0.0519040374061708,0.0396766169015919,0.0239270140572737
A00054387,0.0568923311108817,0.0713385326594617,0.0515193756433926,0.0323258435497017
A00054400,0.0585823834881159,0.0783220208474776,0.0495092969198315,0.0356982018072663
A00054417,0.0216372972333535,0.028516221308524,0.0198528606775557,0.0119188315391255
A00054432,0.0254938712863195,0.0302314316210473,0.0235632430553002,0.0139675619344858
A00054469,0.0457004285816383,0.0571529164087467,0.0414787875062632,0.0257631109127758
A00054517,0.118392936281254,0.154068550771723,0.0979379057965849,0.0760223967007446
A00054535,0.0294151518802389,0.032999535075484,0.0279232532335868,0.015722816107178
A00054597,0.0455806385156384,0.0538484587319563,0.0419903235399247,0.0253117431757866
A00054623,0.0527943191521981,0.065489679213511,0.0472657391355275,0.0302778672104845
A00054647,0.0269506100034574,0.0321928294724274,0.0250442150132725,0.0146983972765551
A00054659,0.0351389416997734,0.0398671664143122,0.0333082564866807,0.0188651884704155
A00054666,0.132140058195052,0.167826310623631,0.119328647130472,0.0782970225447584
A00054673,0.0360514381626402,0.0458847444608939,0.0320066916737358,0.020672956994923
A00054694,0.0320009598186889,0.0364001295783059,0.0301118090324934,0.017278916663904
A00054721,0.124123270972842,0.147471908520532,0.111017058059088,0.0739327819399278
A00054743,0.0532197546974375,0.0712246860950394,0.0453771848203497,0.0320558208608085
A00054753,0.0315346884364536,0.0422762653099983,0.0283675353209428,0.017807452546357
A00054766,0.0949251681547404,0.124860442243451,0.0803483917430902,0.0588465747402866
A00054817,0.0863892500664701,0.109886368297678,0.0769746552554695,0.0506490002387003
A00054836,0.0247491590379823,0.0315793046478058,0.0220652597979502,0.0140531774608292
A00054852,0.0414463915159889,0.0576433359799775,0.0356699877979814,0.0245872586626783
A00054894,0.0703420317551861,0.0944916073104986,0.0606151515103767,0.0422817255443854
A00054907,0.0627548940694046,0.0676923862768178,0.0601579901964111,0.0337815090843647
A00054917,0.0474940780304882,0.0651044072508727,0.0403529855393554,0.028627331936161
A00054923,0.0357462391951853,0.0411966737124407,0.0333441968111708,0.0195077830103186
A00054930,0.0337085203469095,0.0443816955162293,0.0302130827551447,0.0191243887391443
A00055024,0.0419925383270472,0.0501238696635409,0.0391127002350805,0.0230238592174774
A00055038,0.0401216370441448,0.0477882463208768,0.036650864911477,0.0224073771419606
A00055055,0.0367443966081741,0.0490847329214254,0.0328851998736064,0.0209111808303816
A00055065,0.0354303742367698,0.0439455135942648,0.0331903137097874,0.0192499023622824
A00055077,0.0297166029806906,0.0346060086167103,0.0280852327248244,0.0159572376325662
A00055085,0.0368165138391272,0.0438580851170203,0.0341061904767312,0.0202418523860633
A00055103,0.0295792559453886,0.033608823961741,0.0279566523215969,0.0158813557297055
A00055296,0.0355033725328983,0.0449371145113806,0.0320891296862692,0.0199932929208774
A00055392,0.0394531559920654,0.0522705840561501,0.0351669578936845,0.02256996176887
A00055424,0.0379092120651988,0.0476263764071878,0.034734225605586,0.0210842546753736
A00055429,0.0906797831715132,0.117263131700369,0.0771948007569699,0.0557658817070029
A00055436,0.0298480276407034,0.0352893367497429,0.0273542930399309,0.0165297987288868
A00055486,0.0445113937502739,0.0551457676321864,0.0392084197148693,0.0258377629887447
A00055540,0.0300843079309822,0.0393457030495423,0.0264865689509658,0.0173439520685371
A00055613,0.0382829142419176,0.0446133206803073,0.0359767110033674,0.0207629460902468
A00055649,0.0262537999524958,0.0330674037162907,0.0240223384540358,0.0145353268802019
A00055662,0.022893232965961,0.0279622116473743,0.0209148620106589,0.0126734225381728
A00055682,0.0693077368925182,0.0844284960747953,0.0633044773514409,0.0392873450238447
A00055731,0.0944420299535271,0.119664675018927,0.0812813853259884,0.0575634166496886
A00055745,0.0340365757240231,0.0383471378837326,0.0323268639283562,0.0182262254214961
A00055754,0.1025266918042,0.156897115179452,0.0885171276453475,0.0625521151170399
A00055837,0.0291200105453247,0.0434219743800038,0.0257548350407329,0.0167047589570672
A00055865,0.0404789699866007,0.0431785797163005,0.0390192268392942,0.0214267765995573
A00055893,0.0433821400466666,0.0504069072887335,0.0404131128175295,0.0237960177043549
A00055910,0.0573197632415774,0.0595353420984725,0.0560065339341858,0.0301902176653882
A00055947,0.039924601243503,0.05227263015049,0.0351221396002124,0.0231472039507687
A00055956,0.0351674394269299,0.0500425901559383,0.03055592231038,0.020596337338142
A00056002,0.0223279461028711,0.0275161979149454,0.0204786717643151,0.0123077946528865
A00056054,0.0749666612303856,0.0818303377582061,0.0717812030998858,0.0406557787470749
A00056116,0.0434399601833069,0.0604817719037812,0.0377470786505092,0.0255484697954597
A00056166,0.0434538355725679,0.0573957557581049,0.0389347601644045,0.0247829883850841
A00056257,0.134585518626702,0.162438821250341,0.118015602395873,0.0822264845160321
A00056428,0.0431735715452512,0.0559584540349856,0.0386412868418292,0.0246468617471338
A00056693,0.0237885805748413,0.0299609393074869,0.0217691002370943,0.0131527348878089
A00056716,0.0516378369821968,0.0658461341973626,0.0462670139800868,0.029573308204237
A00056723,0.277727036478451,0.350740155814394,0.233171547226823,0.191794457611319
A00056733,0.0490768990223994,0.0531647751993771,0.047419895181063,0.0260281055354833
A00056762,0.164625124611871,0.183665898789306,0.155092723999832,0.0951345197059119
A00056913,0.0308671455312954,0.0364589798881543,0.0288633341771883,0.0167597552783061
A00057599,0.0466337160982131,0.0560870425402069,0.0426438145622005,0.0261051006382101
A00057630,0.137329553969883,0.165172268130043,0.117156571040954,0.0863685956187017
A00058596,0.0255525070901285,0.0312478975490773,0.0234523578755244,0.014099224563143
A00059063,0.0237562229546836,0.0283778327518434,0.0217685630255407,0.0131174854846645
A00059578,0.0247293171912864,0.0276972229295564,0.0234751699342275,0.013187212571884
A00059904,0.0295536182902944,0.037209537869766,0.0269091102957457,0.016471714316151
