Var1,M_1,M_2,M_3,M_4
A00051826,0.0197312761443775,0.0227554184979606,0.0183960236406897,0.0106867710242517
A00051886,0.0246754803213178,0.0312267978537383,0.0225624046627716,0.0136612291986086
A00051955,0.0257380930977992,0.030195619093138,0.0241490888851127,0.0138941166897596
A00053375,0.0161544858701813,0.0191918236114959,0.0149136871086273,0.00882000559737704
A00053398,0.0331490309456563,0.0357786827862674,0.0317859672552642,0.0175735119749474
A00053440,0.0194164598972616,0.022329278356639,0.0181226809886378,0.0105023145949769
A00053460,0.0211550548248705,0.0234706434286771,0.020071385464726,0.0112671050296381
A00053480,0.021467778853625,0.0230619425160803,0.0206414729563381,0.0112834512548501
A00053597,0.0171242632182284,0.0197029367235076,0.0159740451409161,0.00925763860984318
A00053909,0.0172876660351123,0.0197599984849564,0.0160800362452091,0.00937322627522505
A00054215,0.016568398082426,0.0200183374105988,0.015637334093721,0.00885091752921525
A00054239,0.0180090727046578,0.0218233052024296,0.0165800716823582,0.00986885706070724
A00054287,0.0150182979703545,0.0177368548970643,0.0140426591138276,0.00809111036793082
A00054359,0.0206759088376092,0.0223133972159741,0.019708524569807,0.0109580006044912
A00054369,0.0181520614910814,0.0206597850324367,0.0171324061427659,0.00970414306350811
A00054387,0.0341306700527764,0.0409117499689347,0.0312355205629958,0.0189686138550239
A00054400,0.0192620478949952,0.0225395997796418,0.0178775265927713,0.0104774377202121
A00054417,0.022977332395066,0.0260213851685924,0.0215945845640282,0.0123661562419156
A00054432,0.0247895264863759,0.0308014360521,0.0225381590393364,0.0138025235159957
A00054469,0.0275868066167376,0.0358467892066589,0.025185054860019,0.0153193934773853
A00054517,0.0187787298068493,0.0219095823091772,0.0174749291970356,0.0101854358516301
A00054535,0.0280356468987525,0.0347727505205068,0.0257775536052458,0.0154614606472009
A00054597,0.0415740234974065,0.0519592083216229,0.0370893598793553,0.0237929478706389
A00054623,0.0216763793660505,0.0263623743976836,0.0198395995211597,0.0119713312461924
A00054647,0.0225999943783943,0.0269050479792522,0.020894767675906,0.0123609343999514
A00054659,0.0171176137087031,0.0190749404150138,0.0161912979256586,0.00912653683597744
A00054666,0.233013454319258,0.246521311183759,0.222626269551743,0.13786874163008
A00054673,0.0176413520212038,0.0202360798776953,0.0165044023373584,0.00951105494502162
A00054694,0.0210413759812841,0.0239125157740809,0.0198252871402304,0.0112840054391412
A00054721,0.0191894900930143,0.0232545948223938,0.0177211018737,0.0104903033395291
A00054743,0.0226835433635824,0.0260246105489046,0.0214450300411132,0.0121329738554113
A00054753,0.0177759197704264,0.0199471415518928,0.0167457997315852,0.00951937698639499
A00054766,0.0186403273035898,0.021294667451023,0.0174588951017166,0.0100444192530639
A00054817,0.0213406667611599,0.024175513352952,0.0201522477872365,0.0114205356568346
A00054836,0.0170070050416739,0.0193164249834011,0.0160043604527559,0.00911347127926305
A00054852,0.016762694894746,0.0191158909356327,0.0157376137097894,0.0090019806729053
A00054894,0.0217247023102895,0.0236549800880527,0.0207102520239125,0.0115190389196737
A00054907,0.0505808811356015,0.052274149568556,0.0494419448428836,0.0265388034003813
A00054917,0.0195482631123212,0.022145004891628,0.0182264619188816,0.0105855785382595
A00054923,0.0292777095442278,0.0314211362819905,0.0280469253119603,0.0155072846500581
A00054930,0.018189483365952,0.0219349042952703,0.0166043463651137,0.0100536131222941
A00055024,0.0208361759088607,0.0226750792584564,0.0199529835423241,0.01099371268195
A00055038,0.0244730641616677,0.0300565131845496,0.0223734667097767,0.0135503265370493
A00055055,0.0193470781651338,0.023097691538522,0.0177637892189639,0.0106383791008021
A00055065,0.0190511445758227,0.0231464324932329,0.017699376831241,0.0103517854991003
A00055077,0.0181688940271103,0.0213121413214933,0.0169850982460946,0.00980689326901295
A00055085,0.0222938014999725,0.0253586662386241,0.0208469325840256,0.0120531361976564
A00055103,0.0861619458452736,0.1262571068066,0.0693387380298227,0.0559143249695411
A00055296,0.0204999867260377,0.0248449239447753,0.0187860052979761,0.0113008555749336
A00055392,0.018959254731332,0.0223655166066411,0.0178095427296679,0.0101875253682484
A00055424,0.0224006994092249,0.0317057030358254,0.0202854457974127,0.0125081037288123
A00055429,0.0233626955524369,0.027169754095921,0.0218484214437205,0.0126380907539002
A00055436,0.023123181220211,0.0284258969327572,0.0216642852713715,0.0124841666324529
A00055486,0.0233816227230649,0.027303267467654,0.0217266396044744,0.0127287921513866
A00055540,0.0172725498835643,0.0198632198246136,0.0161875442271551,0.00929480066573848
A00055613,0.027184834398791,0.0302150202303534,0.025690050168943,0.0145799343978557
A00055649,0.0153146769208247,0.0175554278346749,0.0144048089121643,0.00820380372966891
A00055662,0.0275646769841721,0.0377047818737453,0.0248536346482015,0.0154951203392139
A00055682,0.0175958252366317,0.0206294725686494,0.016553517885669,0.00943468546757247
A00055731,0.0189265896587892,0.0224447368786933,0.0176264568181725,0.0102578726215224
A00055745,0.0203713982386488,0.02283147207538,0.019345231463969,0.0108362008210268
A00055754,0.13538176756813,0.206614587884774,0.110305771494839,0.0890288261238318
A00055837,0.0187777031782204,0.02182227308263,0.0175183835671968,0.0101589572943686
A00055865,0.0208977385657189,0.0232746906180302,0.0199117387854862,0.0110816402023096
A00055893,0.0337930614735387,0.0395042919033548,0.0313280728790311,0.0185388351882653
A00055910,0.0372525707731791,0.0427466376628665,0.0351639125120496,0.0201051776665523
A00055947,0.0372712566902009,0.0410930309946952,0.0359431927339959,0.0196883581769274
A00055956,0.0199094463586914,0.0248414698155486,0.0182308464840477,0.0109806787981024
