Var1,M_1,M_2,M_3
A00051826,0.00421884774554417,7,-1
A00051886,0.00413006790937009,9.5,9.5
A00051955,0.00295082900535455,9,9
A00053375,0.00773761436903739,9,9
A00053398,0.0040119038869055,10,10
A00053440,0.000919829787814099,9,9
A00053460,0.00156458984661603,7,9.5
A00053480,0.00353570889084951,8,8
A00053597,0.00202163944824544,9.5,9.5
A00053909,0.00189924253475887,10,10
A00054215,0.00162478333883863,7,-1
A00054239,0.00187447441353369,10.5,10.5
A00054287,0.00345932888865254,10,10
A00054359,0.00197544948417428,9.5,9.5
A00054369,0.00144179922144913,11,11
A00054387,0.00221335791608681,9,9
A00054400,0.00283406845617987,9.5,9.5
A00054417,0.00322476587748626,7,13.5
A00054432,0.00233042933504105,7,9.5
A00054469,0.00169105865021135,10,10
A00054517,0.00591056286576827,11,11
A00054535,0.00145637605902015,7.5,7.5
A00054597,0.0063365948369973,9.5,9.5
A00054623,0.00189916678307769,7,-1
A00054647,0.00186250220750743,7,12.5
A00054659,0.00784137643316876,7,-1
A00054666,0.024579027159359,7,8.5
A00054673,0.0027688301924899,7,10.5
A00054694,0.00276712845497592,9.5,9.5
A00054721,0.00364350738370294,10,10
A00054743,0.00396189592422155,10.5,10.5
A00054753,0.00200680559110784,9.5,9.5
A00054766,0.00644033778395957,9.5,9.5
A00054817,0.0033423915637546,9.5,9.5
A00054836,0.00079150298403933,9,9
A00054852,0.000925143441022671,7,10
A00054894,0.00118457734622214,10.5,10.5
A00054907,0.010436261771606,7,13.5
A00054917,0.00205601137317083,9.5,9.5
A00054923,0.0013500717457743,7,-1
A00054930,0.00112213328201595,9.5,9.5
A00055024,0.00768389029340424,7,8.5
A00055038,0.00186384254422556,7,9
A00055055,0.00493032243435042,10.5,10.5
A00055065,0.00108720912557824,7,13
A00055077,0.00533561344853237,7,-1
A00055085,0.00141732069600778,12.5,12.5
A00055103,0.00159906598312263,7,13
A00055296,0.00295290597314553,7,-1
A00055392,0.00893961142214819,8,8
A00055424,0.0022611918795999,9,9
A00055429,0.00186995000462959,9.5,9.5
A00055436,0.00544035518006877,7,-1
A00055486,0.000370576079842444,7,10.5
A00055540,0.00124228303149673,7,-1
A00055613,0.00379955839329587,7,-1
A00055649,0.00527277798797805,9,9
A00055662,0.00169873564152921,8.5,8.5
A00055682,0.00372114336328825,7,10.5
A00055731,0.0035195865000861,10,10
A00055745,0.00234534660928987,7,-1
A00055754,0.0219586903651606,7,9.5
A00055837,0.00209519350903322,7,-1
A00055865,0.000790999042904863,7,10.5
A00055893,0.00253699955004795,7,11.5
A00055910,0.00524034542810681,7,-1
A00055947,0.00491283392613963,10,10
A00055956,0.00446666947739143,10,10
A00056002,0.00787888094989633,7,8
A00056054,0.00383567332247777,7,9
A00056116,0.00307923157418394,9,9
A00056166,0.00287213915818953,7,10.5
A00056257,0.0319338845127316,8.5,8.5
A00056428,0.0135572748325897,7,10
A00056693,0.00785322918471472,7,-1
A00056716,0.00660133701889963,9.5,9.5
A00056723,0.0179700335480566,7,10
A00056733,0.00593244175255517,7,10
A00056762,0.0627057307039931,7,8
A00056913,0.000965529116556664,7,9.5
A00057599,0.00344227058139938,7.5,7.5
A00057630,0.00975207938350582,10,10
A00058596,0.00125910651611733,7,-1
A00059063,0.00237143635773499,7,-1
A00059578,0.00248011134733593,7,-1
A00059904,0.00201512324761451,7,-1
