Var1,M_1,M_2,M_3,M_4
A00051826,0.0395937639096783,0.051787141597162,0.036533441898385,0.0218846680502826
A00051886,0.0659042415592295,0.0801481239354658,0.0614808192613365,0.0365216748471904
A00051955,0.0327218155408679,0.0424821581682586,0.0294017457992133,0.0185083300952845
A00053375,0.0318966664900124,0.0402477287507541,0.0294186673320096,0.0175703780565796
A00053398,0.065902517383613,0.0748590556604189,0.0624546433042821,0.0359454016672097
A00053440,0.028697330400898,0.0369831319579532,0.0257330687396176,0.0162328739580872
A00053460,0.0288742950490754,0.0334627588962363,0.0271426593367189,0.0155824991527165
A00053480,0.0429888628589784,0.0474920792177984,0.0409701271369114,0.023045188759373
A00053597,0.0409324514359407,0.0519331567791108,0.0372297597402354,0.0229697019272405
A00053909,0.0264022430955334,0.0321565982596044,0.0244001099120621,0.01447436780459
A00054215,0.0240919600234187,0.0340711256088698,0.0209959262123725,0.013989341531946
A00054239,0.0369611375832635,0.0473656266318086,0.0332288997361134,0.0209414565718689
A00054287,0.0421760027435609,0.0560471494523445,0.0378535685708839,0.0239978578201015
A00054359,0.0446952828866677,0.0552327910441251,0.0404300117166977,0.0252657766906322
A00054369,0.0240206406962601,0.0327446282319311,0.0209196349001811,0.0139572175106882
A00054387,0.0990229478791201,0.102697456665524,0.0960347939579648,0.053691031335064
A00054400,0.0220232599912254,0.0269510839607962,0.0203648897144207,0.012040007184945
A00054417,0.0297611805433782,0.0411257774656082,0.0269486078320972,0.0166798100438202
A00054432,0.046417741363525,0.0558089322480336,0.0425749151010138,0.0259010302472262
A00054469,0.0282558083323178,0.0361824483181116,0.0250651239197418,0.0161551009490506
A00054517,0.0405497642699794,0.0512087074247322,0.0364708794482805,0.02300516762978
A00054535,0.0233211888177402,0.0300630319398938,0.0207285060850625,0.0132736103464555
A00054597,0.0401217015206445,0.0520919849863424,0.036530923573229,0.0224811532528533
A00054623,0.0438597047782014,0.0571965850680432,0.0391446424903261,0.0251167032804299
A00054647,0.0284787790600035,0.0331932362343035,0.0266056637394581,0.0154608411746977
A00054659,0.0520857507373245,0.0621940990889196,0.0488260104079873,0.0285192720316672
A00054666,0.096279650833183,0.103177260391648,0.0918841655939398,0.0529679996902132
A00054673,0.0310936928104605,0.0359362161647373,0.0292607188051693,0.0167807684137855
A00054694,0.0251594554844539,0.0316862155091213,0.0227968009692175,0.0140585325713544
A00054721,0.0507976725655775,0.0575465501132162,0.0481570825853419,0.0274811196065927
A00054743,0.0383276946148181,0.0449412961541728,0.035355464292335,0.0211753531043338
A00054753,0.0228374638047021,0.0302480058172834,0.0202318342316652,0.0130379202413386
A00054766,0.0328889207763023,0.0412491402791544,0.0305973428297996,0.0179698083940519
A00054817,0.0329527122840262,0.0445343840647837,0.028936577336219,0.0190731682102282
A00054836,0.0213746981950215,0.0272446588292017,0.0191270116996411,0.0120722488923148
A00054852,0.027270466483277,0.0393431598972341,0.0232248305332409,0.0162300528266034
A00054894,0.0364502692097369,0.0451524037355516,0.0335513846792949,0.0201647743797984
A00054907,0.0631932479454177,0.0659864567443233,0.0616612456906821,0.033431037018969
