Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_T_01,0.027673803959611,0.0351621165084219,0.0256659796310037,0.015129785641921,0.0623834931553795,0.239289540669563
PED_T_02,0.0240724321420192,0.0266875247150842,0.022763173229571,0.0128813470186548,0.0438678255801484,0.0377858033845366
PED_T_03,0.0183768413301288,0.0205968006435513,0.0171833500228333,0.00991552729787713,0.046357352960482,0.0181685955742208
PED_T_04,0.0248364986758056,0.0311687057677396,0.0223979894527594,0.0139427317381775,0.0556777271682362,0.131066001853707
PED_T_05,0.0209916230423193,0.0230123774825926,0.0198503318912227,0.0112159321347958,0.0327905766983113,0.0207108824079645
PED_T_06,0.0222356894644012,0.0253343219466227,0.0206773277944126,0.0120904518591911,0.0409724068835982,0.0539346429065412
PED_T_07,0.0270787197308277,0.0281678835326257,0.026216496506473,0.0141738831735837,0.0292981122034291,0.0273875753579735
PED_T_08,0.0255777321487845,0.0328417456086376,0.0233142323305204,0.0142070647106756,0.074166268656968,0.116738398686068
PED_T_09,0.0279139213145546,0.0384452749150772,0.0243543109285244,0.0162185043944225,0.082593976462318,0.204224629863264
PED_T_10,0.0203819133458655,0.0234473920253267,0.0190200937229844,0.0110314290181551,0.0359371915637511,0.0464045319099309
PED_T_11,0.0367580746431468,0.0407424516556609,0.0350055930292782,0.0196587682289861,0.0371349318220359,0.138831677857313
PED_T_12,0.0414890927397582,0.0645501153701662,0.0327136650543375,0.02687125720809,0.0633103701604168,2.38476690002344
PED_T_13,0.0215990503956495,0.024808361489685,0.0201819260453544,0.0116822772759645,0.0456168010433056,0.0418876636182508
PED_T_14,0.034205539426275,0.0383204828624169,0.032088640725239,0.0185436378964609,0.0452074325610839,0.176446872220128
PED_T_15,0.0184127241128415,0.0218753418182861,0.0168600095770984,0.0101457443613082,0.0580862096305304,0.0368106570219715
PED_T_16,0.0274208253765139,0.0353221452915434,0.0246439668970913,0.015465320848636,0.0511757443356531,0.251015966283554
PED_T_17,0.0296587565043417,0.034567647245493,0.0273434432879642,0.0163274797443368,0.0484972015559578,0.096048283126958
PED_T_18,0.0281023465678216,0.0342435283777955,0.0253433891354361,0.0158027087040154,0.0534357417122673,0.156135322065012
PED_T_19,0.0185502057453882,0.0224898901473772,0.0168827629093747,0.0102858135,0.0498063674245448,0.0705202628121359
PED_T_20,0.0293991573212212,0.0317225148561386,0.0279745222551699,0.0156751097625428,0.0470394372023968,0.0472888425499881
PED_T_21,0.0200092376654346,0.0253596397844581,0.0179587734831649,0.0112578302499029,0.0549204295080676,0.110215640323509
PED_T_22,0.0186758889555639,0.0242005613359857,0.0170503853088609,0.0103230188239763,0.0623859555493502,0.0823887358550599
PED_T_23,0.0189919919848512,0.0226933691315667,0.0173090590216281,0.0105186539310263,0.0692872838692195,0.0458693939588111
PED_T_24,0.0293829607905951,0.0370979462062425,0.0263869436745781,0.0165976822051082,0.0620438631458282,0.18890425599194
PED_T_25,0.0188063308322298,0.0219390903299931,0.0173461108386738,0.0102911451984254,0.0443618703408907,0.0352977864310501
PED_T_26,0.0236730292159644,0.03004865208007,0.0213571347602037,0.0132746127553237,0.0681752207938044,0.153566540643029
PED_T_27,0.0287043300034482,0.0305996274994961,0.0277950631226861,0.0150353656105426,0.0254977524139137,0.0396107334023821
PED_T_28,0.0197647714287506,0.0248516646280778,0.0177293112952961,0.0111261596484023,0.079994153453831,0.0870596754214641
PED_T_29,0.0524955560225107,0.0769320258629358,0.0425388995425108,0.0332701698042436,0.0516522137102253,2.94643005489371
