Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_T_01,0.0339187466721699,0.0407791278437337,0.0309363497735928,0.0189108623935578,0.0533623652436438,0.141019424366956
PED_T_02,0.0582166598752294,0.0602892567086263,0.0564881899874697,0.0308874543774172,0.0243930606427739,0.0950829814427211
PED_T_03,0.0397775455212621,0.0496009059283458,0.0363027349029601,0.0222233472405597,0.0530475459427263,0.399288617431134
PED_T_04,0.0527954457621781,0.0636833924306436,0.0482626327316248,0.0296457387122089,0.0474613513966107,0.573838880522892
PED_T_05,0.0727800508222188,0.0921054683686507,0.063597259221394,0.0432058257877184,0.0421623278113643,1.8065960638139
PED_T_06,0.0425757136103986,0.0458422128593217,0.0409300667910528,0.0226199817899885,0.0370474392551231,0.0817457816153197
PED_T_07,0.0384779015290014,0.0492702025500144,0.0341155877030644,0.0221142900526997,0.0578056133421582,0.292271483130984
PED_T_08,0.0406808814477178,0.0563704509947906,0.0341038073859261,0.0247549078117763,0.0776152918133925,1.17693072027202
PED_T_09,0.0343589358451509,0.0434404280840187,0.0306916390787491,0.0195652087553336,0.0625001206648776,0.207744621036631
PED_T_10,0.0216964187442207,0.0280111296072146,0.0191771259702124,0.0124077218592138,0.0569981837956547,0.0629926740525482
PED_T_11,0.0206038612006129,0.0271604887161334,0.0181184275887117,0.0118365487860986,0.060598240202077,0.0641835603111272
PED_T_12,0.0411276448777799,0.0473793198286399,0.0385615506068735,0.0223881719079013,0.0432376310152896,0.269231575834927
PED_T_13,0.0318486827183733,0.0409942317311646,0.0277365372682402,0.0185801155513296,0.0744615073263513,0.240527117555125
PED_T_14,0.0386745788524824,0.0520157291317441,0.0331182774792792,0.0230169821132883,0.0828356649106546,0.545404759556966
PED_T_15,0.0316075600903263,0.0389138358812391,0.0287141652528758,0.0176679319758554,0.0592072234445763,0.182865709125892
PED_T_16,0.0731666562043889,0.0972273234993385,0.062019269230526,0.0447854035528717,0.0403477276140827,3.52743489531433
PED_T_17,0.0409726006661289,0.0445610593844342,0.0391818801258628,0.0218650795770138,0.031625398491013,0.149499972171292
PED_T_18,0.0397463523108548,0.053558178688439,0.0343760770135272,0.0234334152800703,0.0725369378432484,0.563655617870265
PED_T_19,0.0276081054139477,0.0359721041221707,0.0248038196963227,0.0155776842864916,0.0620571872633329,0.176243176142852
PED_T_20,0.0382984359130657,0.0434715032728625,0.0358187460740856,0.0208716449674193,0.0424186141040122,0.127848594237857
PED_T_21,0.0229169876347889,0.0297435111939638,0.0201556304417641,0.0131766256469862,0.0598208638795867,0.0717522432994004
PED_T_22,0.0317402406463903,0.0386641162645472,0.0291109969876375,0.0175787453971117,0.0521541936040313,0.159761527902619
PED_T_23,0.0213632555494106,0.0268676083943368,0.0191883792290071,0.012018703405387,0.0560982457349777,0.0497529682616138
PED_T_24,0.0416132762066775,0.0476172752011864,0.0388113048994235,0.0227756995175483,0.0513189621714046,0.199737053148732
PED_T_25,0.0443509721490431,0.0542084346694536,0.0403076776435078,0.0249448584063001,0.048755824237278,0.39817170487361
PED_T_26,0.0283659937853211,0.0341954351010186,0.0258074454803041,0.0158087712042872,0.0604970348749855,0.0925163285481777
PED_T_27,0.0367016362468695,0.0436539402101803,0.0335517591367266,0.0204476721769038,0.0617865517473526,0.25217833311473
PED_T_28,0.040753451157115,0.0551603238071104,0.0346511333248624,0.0244668313509017,0.0924615676886193,0.469884137035232
PED_T_29,0.0521376228643926,0.0649090305146341,0.0464941442506768,0.0300072883050489,0.0616301685673427,0.769402094482669
