Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_T_01,0.0572708152182103,0.0769214058843661,0.0491056693087087,0.034380848113411,0.0533410473268694,1.39848661567667
PED_T_02,0.0776368032271187,0.104136362637812,0.0668077402695798,0.0469272734891388,0.0499939141894903,2.93885495065771
PED_T_03,0.0320858579306426,0.0438688831776818,0.0272912468215446,0.0191644480615673,0.0765749577610452,0.334015395658736
PED_T_04,0.0463579115512034,0.0502005012325048,0.0444296606465506,0.0247540384900168,0.0501093591319136,0.1755953871198
PED_T_05,0.164231407523141,0.212227499204004,0.138065774962536,0.106322519216676,0.0303966310081808,11.675433608279
PED_T_06,0.038178408916616,0.0507790011678321,0.0335763136706929,0.0221203626717496,0.070075310764262,0.512749646614288
PED_T_07,0.0335944899499447,0.0429031330272446,0.0303225643370041,0.0189240511955043,0.0561672230239744,0.252765064069102
PED_T_08,0.0316231941851106,0.043176982077997,0.0271540626043833,0.0187118659821748,0.0728174272993994,0.44650894320059
PED_T_09,0.0427588679528283,0.0543882521848937,0.0375799554374538,0.0248487268395706,0.0845845122415521,0.355129114783462
PED_T_10,0.0231815945191785,0.0303605625913485,0.020237259890547,0.0134345150650686,0.0532785001729769,0.111909905847925
PED_T_11,0.027358854903213,0.0338344354777864,0.0244246790895055,0.0155315267008893,0.065996915820437,0.122948615226015
PED_T_12,0.0330452370797668,0.0405404148808284,0.0296472839086721,0.0187235986195432,0.0729019706537106,0.214400239101202
PED_T_13,0.0531954482375627,0.0783867206402143,0.043795070368677,0.0331807747115094,0.101390736644667,1.00151123897844
PED_T_14,0.0507181842323068,0.0718713968340361,0.0438373894601923,0.030077081449142,0.0760878424656722,1.25382326126059
PED_T_15,0.0366683128197183,0.0448904192686594,0.0337550118567522,0.0202816347737597,0.0563448696900657,0.195895645942874
PED_T_16,0.0232595509317747,0.0297407702465558,0.0206110138356667,0.0132737837777904,0.0733706075884308,0.0932895223098161
PED_T_17,0.0384828594764425,0.0528026463028612,0.033605845414052,0.0224647828410256,0.0689189645016337,0.663480517070244
PED_T_18,0.0185715055270996,0.0251750501799406,0.0160567854373442,0.0108393955420959,0.0946510186146846,0.062437133232332
PED_T_19,0.027138710507093,0.0349760954473399,0.0240725107889631,0.015500340060206,0.0675255149579645,0.0902120176636402
PED_T_20,0.0356893569451486,0.0431220087688868,0.0322631654449188,0.020097036133376,0.0620361453111628,0.168136661166855
PED_T_21,0.0223174039825304,0.0302988463177587,0.0191037625687303,0.0131780750147863,0.0786565215046696,0.116814903730718
PED_T_22,0.0261409242311806,0.0343571239782472,0.02309006219098,0.0149904933183285,0.0669439038415205,0.171177260884413
PED_T_23,0.0191573820417365,0.0250528526459998,0.0164576016827326,0.0112573585942852,0.0666303407580133,0.0609327282219893
PED_T_24,0.0575993067657735,0.0769275983429438,0.0511409816511875,0.0333914832198698,0.0743647484645643,0.877581316766441
PED_T_25,0.0371168098415065,0.0466353739855339,0.0335558431917625,0.0209138841199523,0.0491115118772104,0.382268194195301
PED_T_26,0.0408119669187478,0.0565887047335808,0.0334784072426125,0.0253852835322572,0.069519307185499,1.16278387337256
PED_T_27,0.0430324953363104,0.0534946273964748,0.0384178164372332,0.024621071647115,0.075523877031705,0.301477313314645
PED_T_28,0.0743596706206842,0.0989508707396883,0.0636372340019366,0.0450849661016319,0.0803415814615594,2.13947897160063
PED_T_29,0.0568093904185832,0.0695808980593544,0.051007788553105,0.0325479205082595,0.0520630315336399,0.837225647495451
