Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_01,0.0287690690235867,0.0298427346787734,0.0278585649397764,0.0150688280194367,0.0306273103380237,0.015921837319818
PED_02,0.0305232084820701,0.0329557383563974,0.0292726987475583,0.0161570496561071,0.0311181065974966,0.0924920216553286
PED_03,0.0183214775572428,0.0217928374325924,0.0170001885639333,0.0099628754263326,0.0529582434494528,0.037065675191985
PED_04,0.0771953040698927,0.0772945870653624,0.0767868461128923,0.0403382277140925,0.0079212643066166,0.0351664890826148
PED_05,0.0888809275516199,0.0893512402817222,0.0879886385123516,0.0469447400203745,0.0115953618043277,0.0931525534199165
PED_06,0.0374433467269119,0.0409407415590179,0.0357273814999345,0.0199930730198644,0.0370969257511476,0.157560793003801
PED_07,0.0478631910245501,0.0495327597320422,0.0465556667895057,0.0251969437689004,0.0330207339883403,0.125193938073932
PED_08,0.019522640286582,0.0245513317900186,0.0177725417550662,0.0108266133261788,0.055368325848531,0.0647431952645916
PED_09,0.0194965881885496,0.0231665062636274,0.017946983173647,0.0106934454658272,0.0562087265596826,0.0501831448993496
PED_10,0.018135521209524,0.0211473475278212,0.0167061701533876,0.00993332586168484,0.0594996844826302,0.0308316370192744
PED_11,0.0246958619588832,0.0273114906517139,0.0234532508952162,0.0131633545623095,0.0402038803838542,0.0596398952802014
PED_12,0.0211758473999435,0.0242126887050102,0.0197344730614524,0.0114823137049571,0.0449800313342479,0.0454614818727094
PED_13,0.0296675429448307,0.0310700458934129,0.0287476268235366,0.0155351516086759,0.0274445557826457,0.0271739653131848
PED_14,0.0278856661621008,0.0289796558733347,0.0270365872899958,0.014581270583435,0.0210983789709499,0.028684184109973
PED_15,0.0376834433815526,0.0382172720416776,0.0369184808956851,0.019594602929376,0.0177620592564001,0.0193830546315546
PED_16,0.0181163325467999,0.0217903998447861,0.0165679753260492,0.00999524821594202,0.0525721694816576,0.0376846342427475
PED_17,0.0163067209085242,0.0189962720718189,0.0149628331715664,0.00895780810361714,0.0507972553160803,0.016519370200125
PED_18,0.0173642269608679,0.0206023760331149,0.015913555395812,0.00955737937570053,0.0565932216419908,0.0343026134640415
PED_19,0.0425912186726243,0.0460038181528543,0.0406999155558895,0.0227630760653058,0.0379576225054358,0.117065745250496
PED_20,0.016997957065413,0.0196206127875971,0.0156820374383669,0.00929115030929228,0.0443678258273621,0.0242605664624683
PED_21,0.0247334870524621,0.0293650347650601,0.0227337451191057,0.0136217532757887,0.05244109008678,0.0864660991049606
PED_22,0.0309532012789353,0.0333681791805577,0.029659530938788,0.0164025720561353,0.0435692644479848,0.0620881901022541
PED_23,0.0266847908883621,0.0449170847158909,0.0205869474289592,0.0175248499997194,0.17657888186522,0.918218187444896
PED_24,0.0241505330957154,0.0286620709074937,0.0220793638680589,0.013367992211214,0.0572117388539232,0.100042255500758
PED_25,0.0184888879793813,0.0217852359817307,0.016916139591044,0.0101963740733527,0.0646702594842136,0.0319125913589484
