Var1,M_1,M_2,M_3
PED_T_01,1209.75272848911,7,NaN
PED_T_02,1214.53116420969,7,9
PED_T_03,320.012926610992,7,NaN
PED_T_04,2991.2806155506,10,10
PED_T_05,1708.02061595264,9,9
PED_T_06,672.674774666032,10,10
PED_T_07,521.481016710769,12,12
PED_T_08,1128.09524197139,7,NaN
PED_T_09,3774.59893463999,7,NaN
PED_T_10,187.124617942188,9,9
PED_T_11,1597.39764919754,10,10
PED_T_12,1530.59173943862,8,8
PED_T_13,6060.90609945604,8,8
PED_T_14,1926.89065318095,9,9
PED_T_15,6806.6884909817,10,10
PED_T_16,608.100218003999,11,11
PED_T_17,7332.28251634432,8,8
PED_T_18,2674.0315829055,9,9
PED_T_19,965.818534188383,12,12
PED_T_20,1630.88508466154,7,NaN
PED_T_21,231.763840917838,11,11
PED_T_22,1090.93085800363,10,10
PED_T_23,203.600222453013,9,9
PED_T_24,888.096700312758,8,8
PED_T_25,3519.26186396698,9,9
PED_T_26,6221.99583593984,10,10
PED_T_27,4241.93335848925,9,9
PED_T_28,4608.17322670916,8,8
PED_T_29,2167.43698088263,10,10
