Var1,M_1,M_2,M_3
PED_T_01,23.5106113742174,7,-1
PED_T_02,33.8541540178708,7,-1
PED_T_03,8.01467456628004,7,-1
PED_T_04,52.9176186062691,10,10
PED_T_05,33.9099128109198,9,9
PED_T_06,13.2750830004343,10,10
PED_T_07,6.67916596140828,12,12
PED_T_08,20.9622463843478,7,-1
PED_T_09,56.7214772302988,7,-1
PED_T_10,4.36354346154394,8,8
PED_T_11,23.0210859166915,10,10
PED_T_12,31.5738650910639,8,8
PED_T_13,83.4677311095995,8,8
PED_T_14,23.654635185395,9,9
PED_T_15,107.802845542176,10,10
PED_T_16,10.5245303273144,10,10
PED_T_17,120.957283340308,8,8
PED_T_18,50.7736798365546,9,9
PED_T_19,14.7061816095507,12,12
PED_T_20,33.8491656790234,7,-1
PED_T_21,4.09264626058394,11,11
PED_T_22,17.0044926010938,10,10
PED_T_23,4.55728971977043,9,9
PED_T_24,15.2488846507817,8,8
PED_T_25,42.6934809242895,9,9
PED_T_26,85.5600386220275,10,10
PED_T_27,50.2674183073049,9,9
PED_T_28,58.5277505165793,8,8
PED_T_29,29.2569209734789,10,10
