Var1,M_1,M_2,M_3
PED_01,62.9661665936405,9,9
PED_02,14.3349291617196,9,9
PED_03,39.2585526403557,8,8
PED_04,46.0513909597823,10,10
PED_05,25.1341361888766,7,9
PED_06,25.6355622402721,11,11
PED_07,55.9556174551161,10,10
PED_08,18.0194274716187,10,10
PED_09,19.4098099359367,9,9
PED_10,16.9842753423113,9,9
PED_11,62.0015931068404,10,10
PED_12,70.1867115717217,9,9
PED_13,11.1260801543651,10,10
PED_14,8.8328707857624,10,10
PED_15,26.5132090548298,8,8
PED_16,11.5447152692542,8,8
PED_17,18.5850608356024,9,9
PED_18,10.6550820762614,10,10
PED_19,1.97415967363694,7,12
PED_20,7.53989205834963,10,10
PED_21,181.412385250214,9,9
PED_22,24.6982508687679,10,10
PED_23,20.0937284937197,11,11
PED_24,62.6939370976876,10,10
PED_25,46.4459329197358,10,10
