Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_T_01,0.516284278738424,26.5404985124211,0.0348409735314218,0.0404337854397429,0.0317088310220527,0.0194682864141313,0.0521366611461202,0.0434032492227512,0.030942769101457,0.0359970776218752,0.0279828588648659,0.0173683256871621,0.0527303970175846,0.017065917886987
PED_T_02,0.507060513213732,45.3642357775419,0.0583034448245108,0.0596865136125626,0.0566156384219277,0.0308890944248686,0.0246797639367334,0.0257662979779099,0.0583655929621906,0.0597509400323609,0.0564573503195279,0.0310427263453578,0.0409248290568033,0.0150161441247892
PED_T_03,0.505639109568508,30.687027465019,0.033487987761649,0.0383111788841058,0.0308575662811611,0.0184375969168844,0.0495837507676343,0.034005406502963,0.0458838562376374,0.0539039263039673,0.0415948862352037,0.0258800709953142,0.047812596292791,0.116005421368149
PED_T_04,0.503615204835029,40.3052636424159,0.0525401765932103,0.0604957965160154,0.0484476595595262,0.0292296418320228,0.0439769534239592,0.0776659887370454,0.0525566500686038,0.0626676358414331,0.0472895020375099,0.0299649118993558,0.0443722998485281,0.134974070000255
PED_T_05,0.501437032037586,56.0324807331582,0.0640879559467254,0.0767172419668326,0.0568899169615472,0.0372493543745676,0.0379785028600142,0.228638661890802,0.0832964934829889,0.101206671753627,0.0724443430161727,0.0498908021303734,0.0354169598051483,0.398463980999252
PED_T_06,0.512951924286562,33.5029168754913,0.0409716901063923,0.043097238441564,0.0392112255981288,0.0218432510151418,0.0327320284751736,0.0118621937441912,0.0431844849668805,0.0461829800445121,0.041506155889401,0.0229430382868222,0.0342304201857215,0.0299520777333101
PED_T_07,0.517939160719847,31.67515308977,0.0388405074009705,0.0482730869976242,0.0340173646489908,0.0225969140908516,0.06557317186968,0.0668158281620671,0.0391514870629455,0.0473589599274836,0.0349292336605931,0.0223642244286743,0.0396520056504346,0.0650942101902388
PED_T_08,0.527862112170459,32.57947224824,0.0425896399188785,0.0569093804060668,0.0353295667304758,0.0262089965295196,0.0816393903473539,0.257404336890021,0.0345008146851502,0.043511966762808,0.0294046369816146,0.0205254549733085,0.0782251474624299,0.141379661104056
PED_T_09,0.50111898925969,26.3560754442504,0.0371237740257044,0.0424749160472198,0.0340441601698855,0.0206098793892106,0.0421674586336764,0.0507707325108587,0.0322899037643734,0.0397018800951949,0.0285353102752475,0.0185712720341405,0.0672235590405178,0.0299296367634186
PED_T_10,0.506934421446783,17.1429459133803,0.0210861345205347,0.0251578722393452,0.0188761224544,0.0118984127045152,0.06267145719301,0.0126638040065445,0.0230248304777525,0.0286226795468147,0.0201602295764578,0.0132958341468744,0.0696133103168619,0.0180884603672821
PED_T_11,0.492722808630224,15.5759532435979,0.0220561844540218,0.0271276893008808,0.0193010951535391,0.012737727182353,0.0604638426758299,0.0104952676360723,0.0203672186818523,0.0259759980023913,0.0178104157562815,0.0117610259901982,0.0750795789998039,0.0133082398700441
PED_T_12,0.49770779334017,29.9195961233867,0.043044420639743,0.0482176791397753,0.0402302181340595,0.0235157778648745,0.0454090393804086,0.066800345313391,0.0368370268112403,0.0397908030358064,0.0349263047939818,0.0197774002433839,0.0359495339433878,0.0238815787017351
PED_T_13,0.500755652300358,23.488263534454,0.0297323343602152,0.0349928621029138,0.0264625597648616,0.0169531050675005,0.0656477894845946,0.0280435588075576,0.0322183926963938,0.0393189079667574,0.0281015525337297,0.0187605968741535,0.0571399691792749,0.0329386884812998
PED_T_14,0.526032201157857,32.894700193367,0.0387838621988757,0.0497571199241157,0.0328287879242878,0.0233461453452575,0.101417300090808,0.0916507356678175,0.039625990721935,0.0499076749267922,0.0339333671720618,0.0235874485670598,0.0649737413910372,0.137228891337256
PED_T_15,0.485336271333482,22.9892001126764,0.0362499625576073,0.0413392395290875,0.0332965838492811,0.0200836672425535,0.0456108534154312,0.0335365636188406,0.0282430811443951,0.0324962190102243,0.0257793163281692,0.0156847378913263,0.0507548727768548,0.027161289035448
PED_T_16,0.503846657161481,55.5765867994248,0.0835809812517618,0.105239055123526,0.0705051097167792,0.0516211803304743,0.0366485106514866,0.793213275579674,0.0612020322473974,0.0807450320988545,0.0526241925859622,0.0366711340558373,0.0443731788308413,0.364714399347575
PED_T_17,0.517750222351704,32.5520493593541,0.0412745643546404,0.043526265985246,0.0395967022272375,0.0219485431215634,0.0226063183854962,0.0290537285544524,0.0389372384644745,0.0410733884004287,0.0373518635838323,0.0206832447556756,0.0308572373454915,0.0296821070525487
