Var1,M_1,M_2,M_3,M_4,M_5
PED_01,0.0614705595007339,0.094289184761816,0.0444336901990746,0.0438464486164802,177.25
PED_02,0.048672431426509,0.0754065271305306,0.0362578655022608,0.033470672757291,158.53125
PED_03,0.0447622402673156,0.0697659674870696,0.0319482314158524,0.0320643105862232,193.34375
PED_04,0.0288937927691,0.0518961340832953,0.0198900010899049,0.0212894682727223,178.96875
PED_05,0.018348742939323,0.0306247213383916,0.0136689339811877,0.0124276190420401,174.09375
PED_06,0.0576091453643387,0.111196161773186,0.0391527941567881,0.0436196588952174,199.71875
PED_07,0.0532055470220006,0.0935500387621438,0.0352218682595614,0.0412663369814919,169.1875
PED_08,0.0243838744938094,0.0452576048751388,0.0172587620937566,0.0174344992583467,187.40625
PED_09,0.0724143219587057,0.116201600512645,0.0555238425062871,0.0489667049788966,165.125
PED_10,0.0100838224972832,0.0163552152631731,0.007668137420293,0.00666333010460507,148.40625
PED_11,0.0724900700805974,0.105939015643895,0.0541961157306287,0.0502732689253615,171.3125
PED_12,0.0384861136879364,0.0649864826389057,0.0270841740002522,0.0278719922410327,211.71875
PED_13,0.0620462307191423,0.0981871108374613,0.0455414947329215,0.0435976328505993,174.96875
PED_14,0.0418676931071028,0.0664963865274086,0.0311169286121869,0.0287590304609905,172.9375
PED_15,0.020276759302762,0.0357883573183575,0.0145260487881066,0.0142947187559496,164.71875
PED_16,0.0323045249689554,0.0512096802450946,0.023401948200764,0.0226571576114663,176.625
PED_17,0.0345514789633287,0.0564463863244699,0.0243443906823518,0.0249432722218228,185.4375
PED_18,0.0813518640011171,0.129251505408583,0.0633328940000945,0.0544280428384168,163.8125
PED_19,0.0319672116508788,0.0542380695904226,0.0219690026172847,0.0236296142806826,171.0625
PED_20,0.049937378821065,0.0747038912344182,0.0365647315660951,0.0349596278094331,162.96875
PED_21,0.110190413142148,0.146747326084565,0.0935635171924844,0.0686068608928317,198.0625
PED_22,0.0514246481784815,0.0934099385037186,0.0369026574588991,0.0367611224777151,146.78125
PED_23,0.0688441285590112,0.113257255558945,0.048363556612914,0.050717333402293,165.46875
PED_24,0.101662919134528,0.143921718229847,0.0771073353291565,0.0705493261961732,173.5
PED_25,0.124912290920874,0.183476316601951,0.0975057904613405,0.0852523847136357,173.90625
