"dataset","band","metric","age","mcse_age","sex","mcse_sex"
"test","theta","cp",4.1,0.4,4.3,0.6
"test","theta","ge",1.1,0.2,0.9,0.2
"test","theta","cc",8.5,0.7,6.9,0.6
"test","theta","sw",3,0.3,3.2,0.6
"test","theta","tihs",11.4,0.8,15.6,0.7
"test","alpha","cp",99.9,0,0.2,0.1
"test","alpha","ge",100,0,1.7,0.3
"test","alpha","cc",99.9,0.1,0.1,0.1
"test","alpha","sw",100,0,0.1,0.1
"test","alpha","tihs",97.6,0.4,10.9,0.5
"test","alpha","ap",92.9,0.6,35.3,1
"test","beta","cp",36.5,1.1,32,1.1
"test","beta","ge",60.1,1,31.6,1.1
"test","beta","cc",40.5,1.1,28.6,1
"test","beta","sw",42.4,1.1,30.7,1.1
"test","beta","tihs",35.3,1.1,36,0.9
"validation","theta","cp",97.2,0.5,99.7,0.1
"validation","theta","ge",96.7,0.4,99.2,0.3
"validation","theta","cc",97.4,0.3,99.5,0.1
"validation","theta","sw",98.3,0.3,99.8,0.1
"validation","theta","tihs",91.6,0.7,92,0.5
"validation","alpha","cp",87.6,0.8,98.1,0.3
"validation","alpha","ge",82.7,0.8,97,0.4
"validation","alpha","cc",89.1,0.7,97.7,0.3
"validation","alpha","sw",86,0.8,98.2,0.3
"validation","alpha","tihs",85,0.9,89.4,0.5
"validation","alpha","ap",99.2,0.2,68.2,0.9
"validation","beta","cp",93.9,0.5,82,0.8
"validation","beta","ge",94.8,0.5,77.8,1
"validation","beta","cc",97.2,0.4,84,0.8
"validation","beta","sw",93.6,0.6,80.9,0.8
"validation","beta","tihs",95.5,0.5,71.3,0.9
