"dataset","band","metric","probability","mcse"
"test","theta","cp",10.7,0.6
"test","theta","ge",7.1,0.5
"test","theta","cc",12.2,0.6
"test","theta","sw",8.7,0.6
"test","theta","tihs",11.6,0.6
"test","alpha","cp",6,0.5
"test","alpha","ge",27.9,0.9
"test","alpha","cc",5.9,0.5
"test","alpha","sw",12.5,0.6
"test","alpha","tihs",10.9,0.7
"test","alpha","ap",15.4,1
"test","beta","cp",24.9,0.8
"test","beta","ge",32,0.9
"test","beta","cc",25.4,0.9
"test","beta","sw",27.1,0.9
"test","beta","tihs",25.5,1
"validation","theta","cp",98.6,0.2
"validation","theta","ge",98,0.3
"validation","theta","cc",98.6,0.2
"validation","theta","sw",99.1,0.2
"validation","theta","tihs",98.6,0.2
"validation","alpha","cp",98.4,0.2
"validation","alpha","ge",96.2,0.3
"validation","alpha","cc",98.7,0.2
"validation","alpha","sw",97.9,0.3
"validation","alpha","tihs",99,0.2
"validation","alpha","ap",66.3,0.8
"validation","beta","cp",94.4,0.4
"validation","beta","ge",96.7,0.3
"validation","beta","cc",94.8,0.4
"validation","beta","sw",96.1,0.4
"validation","beta","tihs",94.8,0.5
