"dataset","band","metric","probability","mcse"
"ped","delta","cp",0.2,0.1
"ped","delta","ge",0.8,0.2
"ped","delta","cc",0.3,0.2
"ped","delta","sw",0.2,0.1
"ped","delta","tihs",0.3,0.1
"ped","theta","cp",6.9,0.6
"ped","theta","ge",5.1,0.5
"ped","theta","cc",4.3,0.5
"ped","theta","sw",10,0.8
"ped","theta","tihs",9.7,0.7
"ped","alpha","cp",95,0.5
"ped","alpha","ge",99.8,0.1
"ped","alpha","cc",91.8,0.6
"ped","alpha","sw",98.5,0.3
"ped","alpha","tihs",93.2,0.6
"ped","alpha","ap",95.9,0.5
"ped","beta","cp",36,1.3
"ped","beta","ge",52,1.2
"ped","beta","cc",37.9,1.2
"ped","beta","sw",41.3,1.2
"ped","beta","tihs",35.5,1.3
"dataset","delta","cp",81.1,1
"dataset","delta","ge",82.2,1
"dataset","delta","cc",78.2,1.1
"dataset","delta","sw",78.4,1.1
"dataset","delta","tihs",77.7,1.1
"dataset","theta","cp",87.3,0.9
"dataset","theta","ge",91.7,0.7
"dataset","theta","cc",83.8,0.8
"dataset","theta","sw",91.6,0.7
"dataset","theta","tihs",85.4,0.8
"dataset","alpha","cp",94.3,0.6
"dataset","alpha","ge",86,0.8
"dataset","alpha","cc",95.1,0.7
"dataset","alpha","sw",91.2,0.6
"dataset","alpha","tihs",89.2,0.7
"dataset","alpha","ap",99.7,0.1
"dataset","beta","cp",95.3,0.5
"dataset","beta","ge",95.6,0.5
"dataset","beta","cc",95,0.6
"dataset","beta","sw",92.8,0.6
"dataset","beta","tihs",93.9,0.6
