"dataset","band","metric","probability","mcse"
"test","theta","cp",28.5,1.2
"test","theta","ge",19.3,1
"test","theta","cc",22.1,0.9
"test","theta","sw",31.4,1.2
"test","theta","tihs",37.1,1.2
"test","alpha","cp",98.6,0.3
"test","alpha","ge",99.8,0.1
"test","alpha","cc",96.6,0.5
"test","alpha","sw",98.8,0.3
"test","alpha","tihs",95.6,0.5
"test","alpha","ap",97.4,0.5
"test","beta","cp",38.6,1.1
"test","beta","ge",46.7,1.1
"test","beta","cc",33.6,1.1
"test","beta","sw",43,1.1
"test","beta","tihs",40.6,1.2
"validation","theta","cp",87.5,0.8
"validation","theta","ge",97.3,0.5
"validation","theta","cc",86.9,0.8
"validation","theta","sw",89.8,0.7
"validation","theta","tihs",85.8,0.9
"validation","alpha","cp",92.2,0.6
"validation","alpha","ge",72.2,1
"validation","alpha","cc",94.4,0.5
"validation","alpha","sw",84.7,1
"validation","alpha","tihs",92.4,0.7
"validation","alpha","ap",97.4,0.4
"validation","beta","cp",93.3,0.7
"validation","beta","ge",92.6,0.8
"validation","beta","cc",89.6,0.8
"validation","beta","sw",93.6,0.6
"validation","beta","tihs",95.2,0.7
