"dataset","band","metric","probability","mcse"
"test","theta","cp",26.6,0.7
"test","theta","ge",11.5,0.6
"test","theta","cc",29.7,0.8
"test","theta","sw",17.6,0.6
"test","theta","tihs",31.5,0.8
"test","alpha","cp",5.5,0.4
"test","alpha","ge",20.9,0.8
"test","alpha","cc",6.8,0.4
"test","alpha","sw",9,0.5
"test","alpha","tihs",6.4,0.5
"test","alpha","ap",13.2,1.1
"test","beta","cp",64.1,0.8
"test","beta","ge",67.5,0.8
"test","beta","cc",52.3,1
"test","beta","sw",69.5,0.8
"test","beta","tihs",66.3,1
"validation","theta","cp",82.2,0.7
"validation","theta","ge",69.4,0.8
"validation","theta","cc",84.7,0.6
"validation","theta","sw",78.2,0.7
"validation","theta","tihs",77.2,0.8
"validation","alpha","cp",88.4,0.5
"validation","alpha","ge",86,0.6
"validation","alpha","cc",89.4,0.5
"validation","alpha","sw",87.4,0.6
"validation","alpha","tihs",92,0.5
"validation","alpha","ap",77.4,0.8
"validation","beta","cp",95.4,0.4
"validation","beta","ge",93.9,0.4
"validation","beta","cc",96,0.3
"validation","beta","sw",95,0.4
"validation","beta","tihs",95.1,0.4
