   neural      behavior positive positive_se negative negative_se
1      cp            iq    14.70        0.62    85.30        0.62
2      cp     iq_memory    19.53        0.68    80.47        0.68
3      cp      iq_speed    19.85        0.77    80.15        0.77
4      cp  visual_motor    42.62        0.76    57.38        0.76
5      cp        visual    11.77        0.62    88.23        0.62
6      cp         motor    44.85        0.77    55.15        0.77
7      cp     omissions    22.10        0.70    77.90        0.70
8      cp    comissions    50.27        0.79    49.73        0.79
9      cp perservations    94.32        0.42     5.68        0.42
10     cc            iq     8.05        0.51    91.95        0.51
11     cc     iq_memory    11.62        0.55    88.38        0.55
12     cc      iq_speed    13.60        0.58    86.40        0.58
13     cc  visual_motor    31.42        0.74    68.58        0.74
14     cc        visual     8.08        0.47    91.92        0.47
15     cc         motor    36.00        0.75    64.00        0.75
16     cc     omissions    23.80        0.70    76.20        0.70
17     cc    comissions    54.07        0.79    45.93        0.79
18     cc perservations    93.35        0.43     6.65        0.43
19    mod            iq    95.23        0.38     4.77        0.38
20    mod     iq_memory    40.65        0.78    59.35        0.78
21    mod      iq_speed    99.68        0.10     0.32        0.10
22    mod  visual_motor    84.85        0.62    15.15        0.62
23    mod        visual    28.82        0.72    71.18        0.72
24    mod         motor    82.10        0.67    17.90        0.67
25    mod     omissions    86.05        0.57    13.95        0.57
26    mod    comissions    79.72        0.68    20.28        0.68
27    mod perservations    7.22        0.45    92.78        0.45
28     sw            iq    23.28        0.72    76.72        0.72
29     sw     iq_memory    28.57        0.74    71.43        0.74
30     sw      iq_speed    24.32        0.70    75.68        0.70
31     sw  visual_motor    48.25        0.76    51.75        0.76
32     sw        visual    14.20        0.65    85.80        0.65
33     sw         motor    50.28        0.79    49.72        0.79
34     sw     omissions    22.05        0.67    77.95        0.67
35     sw    comissions    47.77        0.79    52.23        0.79
36     sw perservations     94.55        0.38     5.45        0.38
37   tihs            iq    17.60        0.65    82.40        0.65
38   tihs     iq_memory    15.35        0.67    84.65        0.67
39   tihs      iq_speed    19.38        0.68    80.62        0.68
40   tihs  visual_motor    46.45        0.77    53.55        0.77
41   tihs        visual    16.25        0.66    83.75        0.66
42   tihs         motor    51.02        0.79    48.98        0.79
43   tihs     omissions    29.58        0.74    70.42        0.74
44   tihs    comissions    54.88        0.79    45.12        0.79
45   tihs perservations    97.03        0.27     2.97        0.27
